,name,founded_date,employee_count,description,location,categories,funding_data,investor_data
0,EventzIO,"November 1, 2014",11 - 50,"EventzIO helps a user decide whether he/she should attend a business event or not. They solve the decision making problem of a user by predicting the potential ROI (at a scale of 5: ex: 3/5) that the user can get by attending a Business Event.
Potential event attendees consider the following points while making a decision: 
  - Will this event be worth attending at the cost of event fee and time spent? 
  - Will this event attract the kind of participants whom I can network/engage with?
EventzIO helps a user by predicting ROI that is unique to the user, based on his profile & interests. Their ‘Prediction Algorithm’ takes user’s attributes & event variables into account to predict ROI for a user for a specific future event.
Once a user decided to attend the event, their ‘Matchmaking Algorithm’ will recommend the user the probable participants that he/she can start engaging with - networking before the event - so that the user’s time during the event can be utilized in the best possible manner.
",Bangalore,"Events, Mobile",,
0,Practo,"May 18, 2008",11 - 50,"For millions of people, Practo is their trusted home where they know they will find the healing touch. Practo is the place which connects them to everything that they need to take good take care of themselves and their families, assessing health issues, finding the right doctor, managing records securely, and finding new ways to live a longer healthier life. Healthcare providers use Practo because it is the trusted home for health for millions of people. Practo provides a definitive platform for them to build their presence, to grow their practice or business and to engage their patients in a way that was never possible before.
",Bangalore,"Health Care, SaaS, Marketplace","[['Jan, 2017', '$55M / Series D', '—', 'Tencent Holdings', '9'], ['Aug, 2015', '$90M / Series C', '—', 'Tencent Holdings', '7'], ['Feb, 2015', '$30M / Series B', '—', 'Sequoia Capital', '2'], ['Jul, 2012', '$4M / Series A', '—', '—', '1']]","[['Altimeter Capital', 'Series C', '-', 'Series D', '-'], ['CapitalG', 'Series C', '-', 'Series D', '-'], ['Matrix Partners', 'Series D', '-'], ['Matrix Partners India', 'Series B', '-', 'Series C', '-'], ['RSI Fund', 'Series D', '-'], ['ru-Net', 'Series D', '-'], ['Sequoia Capital', 'Series A', '-', 'Series B\xa0(Lead)', 'Shailendra Singh', 'Series C', 'Shailendra Singh', 'Series D', 'Shailendra Singh'], ['Sofina', 'Series C', '-', 'Series D', '-'], ['Tencent Holdings', 'Series C\xa0(Lead)', '-', 'Series D\xa0(Lead)', '-'], ['Thrive Capital', 'Series D', '-'], ['Yuri Milner', 'Series C', '-']]"
0,Belong,2014,11 - 50,"Belong helps organizations discover, engage and hire top, relevant talent at the right time. Our data-driven solution helps hiring teams spot candidates who best fit their requirements and are most inclined to move, and engage with them through personalized interactions.
","Bangalore, Karnataka","Internet, Recruiting, Big Data","[['Feb, 2017', '$10M / Series B', '—', 'Sequoia Capital', '2'], ['Jun, 2015', '$5M / Series A', '—', '—', '6']]","[['Blume Ventures', 'Series A', '-'], ['Kunal Bahl', 'Series A', '-'], ['Matrix Partners India', 'Series A', '-', 'Series B', '-'], ['Phanindra Sama', 'Series A', '-'], ['Raju Reddy', 'Series A', '-'], ['Rohit Bansal', 'Series A', '-'], ['Sequoia Capital', 'Series B\xa0(Lead)', 'Gautam Mago']]"
0,Purplle,"September 1, 2011",11 - 50,"We at Purplle, unravel the best kept beauty secrets, wellness mantras and reviews. It opens up vistas of news, information, ideas and tips that will affect your beauty regime.
","Mumbai, Maharashtra","E-Commerce, Shopping, Mobile Apps, Retail","[['Jul, 2016', '$6M / Series B', '—', 'JSW Ventures', '1'], ['Jan, 2015', 'undisclosed amount / Series A', '—', 'IvyCap Ventures', '3'], ['May, 2014', '$541.18k / Angel', '—', '—', '1'], ['Aug, 2013', 'undisclosed amount / Series A', '—', '—', '3']]","[['Artha India Ventures', 'Angel', 'Anirudh Damani'], ['Blume Ventures', 'Series A', '-', 'Series A', '-'], ['Brand Capital', 'Series A', '-'], ['Chennai Angels', 'Series A', '-'], ['IvyCap Ventures', 'Series A\xa0(Lead)', 'Norbert FernandesVikram Gupta'], ['JSW Ventures', 'Series B\xa0(Lead)', '-'], ['Mumbai Angels', 'Series A', '-']]"
0,NowFloats,2012Aliases:Nowfloats Technologies Pvt. Ltd,11 - 50,"NowFloats enables Small and Medium Businesses (SME) to get an online presence by simply using SMS. This website can also be updated by sending regular SMS and this message can be delivered to the loyal customers of that business. Additionally the NowFloats algorithm ensures highest discoverability through intelligent Search Engine Optimization (SEO).
There are 47M Small & Medium Businesses in India, while there are only 700K registered websites. It is also estimated that almost 9.6M Indian businesses need some sort of online identity. With 900M+ mobile phones and SMS being the pervasive technology, NowFloats believes that getting business online thru SMS (or Apps) is a scalable and sustainable business.
NowFloats is co-founded by ex-Microsoft and ex-Saatchi & Saatchi team and has almost 2000 customers within 5 months of the product launch.
","Hyderabad, Andhra Pradesh","Real Time, Mobile Apps, Location Based Services","[['Jan, 2017', '$10M / Series B', '—', 'IIFLIron Pillar', '4'], ['Jan, 2015', 'undisclosed amount / Series A', '—', 'Omidyar Network', '4'], ['Jun, 2013', 'undisclosed amount / Angel', '—', '—', '4'], ['Jan, 2013', 'undisclosed amount / Non Equity Assistance', '—', '—', '1']]","[['Artha India Ventures', 'Angel', 'Anirudh Damani', 'Series A', 'Anirudh Damani'], ['Blume Ventures', 'Angel', '-', 'Series A', '-', 'Series B', '-'], ['Hyderabad Angels', 'Angel', '-'], ['IIFL', 'Series B\xa0(Lead)', '-'], ['Iron Pillar', 'Series B\xa0(Lead)', '-'], ['Microsoft Accelerator', 'Series A', '-'], ['Microsoft Accelerator Bangalore', 'Non Equity Assistance', '-'], ['Mumbai Angels', 'Angel', '-'], ['Omidyar Network', 'Series A\xa0(Lead)', '-', 'Series B', '-']]"
0,Explara,2008Aliases:,11 - 50,"www.explara.com : The All-in-One ​Event ​& Membership Management Platform.
The All-in-One technology platform for managing events, conferences, exhibitions, membership and more. 
Explara Platform offers dozens of software applications for event ticketing/registration, membership management, event mobile app builder, conference paper submission, event day check-in/badge, contacts management, event survey, merchandise and stay & hotel.
Founded in 2008, we were amongst the first few Do-It-Yourself platforms in the world to democratize event organizing. And with that ambition, we have evolved to become World’s Only Unified Platform for Events.
Our solutions have delighted 58,000+ Organizer, powering events in 21 countries and 6 continents. 70% of our revenue is driven by repeat customers. We have made our customer’s 2 million audience/attendees happy with our support & finest solution.
","Bangalore, Karnataka","Ticketing, Event Management","[['Nov, 2015', '$486.43k / Venture', '—', 'Hyderabad Angels', '3'], ['Feb, 2015', 'undisclosed amount / Venture', '—', '—', '1'], ['Feb, 2013', 'undisclosed amount / Venture', '—', '—', '6'], ['Feb, 2013', 'undisclosed amount / Angel', '—', '—', '6']]","[['Anthill Ventures', 'Venture', '-'], ['Blume Ventures', 'Angel', '-', 'Venture', '-'], ['HBS Alumni Angels', 'Angel', '-', 'Venture', '-'], ['Hyderabad Angels', 'Venture\xa0(Lead)', 'Sreekanth Perepu'], ['Kishore Warrier', 'Angel', '-', 'Venture', '-'], ['Microsoft Accelerator', 'Venture', '-'], ['Microsoft Accelerator Bangalore', 'Venture', '-'], ['Ness Wadia', 'Venture', '-'], ['Rajan Anandan', 'Angel', '-'], ['Ravi Gururaj', 'Angel', '-', 'Venture', '-'], ['Srijan Capital', 'Angel', '-', 'Venture', '-']]"
0,Silvan,2008,11 - 50,"The idea of Silvan sparked in 2008 in the midst of the economic meltdown. It was then that the founders realised that despite the financial downturn, one thing would never change – the need to feel secure.
Silvan’s founders started the company with a view to make people’s lives safer and more secure. They kick-started their operations in Bangalore with a simple yet effective solution – Internet Protocol (IP) cameras with built-in intelligence to detect events automatically. As the business started to take its own shape, Silvan expanded its scope by entering into the sphere of home automation based on contemporary technologies such as cloud services and the Internet of Things.
Ubiquitous access to the home automation system from the smart phone was first on the list of priorities for Silvan’s founders. They were keen on creating a generation of new-age automation where smart phones could be used to control all the appliances and devices in a house. The focus was also on being a ‘complete solutions company’ rather than being just a ‘product company’. Silvan’s objective is simple – to cater to an evolving Indian lifestyle, which demands a fresh approach, wherein a modern and traditional way of life can co-exist.
Silvan’s solutions for home automation has been welcomed by several big players in the field of housing – Sobha, Brigade, Nambiar Builders, Total Environment, Tata Housing, and Lodha to name a few.
Spurred on by the magnitude of success the company has achieved in home automation in the Indian market, Silvan is now looking to expand into other geographies. It is also working on new products that would increase its footprint amongst the consumers.
","Bangalore, Karnataka","Security, Smart Home, Consumer Electronics","[['Jun, 2016', '$886.46k / Venture', '—', 'Infuse Ventures', '1'], ['Jan, 2016', '$500k / Angel', '—', '—', '1']]","[['Infuse Ventures', 'Venture\xa0(Lead)', '-'], ['The Chennai Angels', 'Angel', '-']]"
0,Tookitaki,2012,11 - 50,"Tookitaki is India’s first social targeting and ad optimisation platform. Tookitaki is a Content Prediction and Distribution platform which uses big data to build a Content predicting engine which can be used to identify content with which the audience is engaging at a specific point of time, and use this content as a proxy to target audiences across marketing channels. 
The intelligence is used both as Audience Insight platform for better Media planning & Content strategy and as a Marketing Automation platform across marketing channels - Mobile, Facebook, etc.
",Singapore,"Social Media, Advertising, Marketing Automation","[['Jan, 2015', '$1M / Seed', '—', 'Jungle Ventures', '3'], ['Jan, 2014', 'undisclosed amount / Venture', '—', '—', '1'], ['Jul, 2013', '$200k / Seed', '—', '—', '5'], ['Oct, 2012', '$25k / Seed', '—', '—', '3']]","[['Anand Ladsariya', 'Seed', '-'], ['Blume Ventures', 'Seed', '-', 'Seed', '-'], ['India Internet Fund', 'Seed', 'Nihal MehtaAnirudh Suri'], ['Jungle Ventures', 'Seed\xa0(Lead)', 'Amit Anand'], ['Microsoft Accelerator Bangalore', 'Venture', '-'], ['Miten Sampat', 'Seed', '-'], ['Rahul Garg', 'Seed', '-'], ['Ravi Gururaj', 'Seed', '-'], ['Ravi Trivedi', 'Seed', '-', 'Seed', '-'], ['Rebright Partners', 'Seed', '-']]"
0,Appknox,"April 27, 2014",11 - 50,"Appknox is a cloud-based mobile security solution that helps businesses and developers discover and resolve security loopholes in their mobile apps, in just a few minutes. 
Our mission is to help make the mobile ecosystem safe and secure for everyone - businesses, developers and of course consumers.
","Singapore, Central Region","Security, SaaS, Mobile","[['Aug, 2016', '$640k / Seed', '—', 'SeedPlus', '1'], ['Dec, 2014', 'undisclosed amount / Venture', '—', '—', '4'], ['May, 2014', '$19.9k / Seed', '—', '—', '2']]","[['JFDI.Asia', 'Seed', '-'], ['Jungle Ventures', 'Venture', 'Amit Anand'], ['Microsoft Accelerator Bangalore', 'Venture', '-'], ['Rajan Anandan', 'Venture', '-'], ['SeedPlus', 'Venture', 'Tiang Lim Foo', 'Seed\xa0(Lead)', 'Tiang Lim Foo'], ['Start-Up Chile', 'Seed', '-']]"
0,Ecolibrium,2009,11 - 50,"The era of Climate change, not only presents the gravest challenge to Humankind, but also the biggest opportunity in this century to establish a more sustainable ecosystem.
Global warming and energy crisis are two significant challenges facing the world today. Not only are they inter-linked, but their negative impact is accelerating as you read this. The choice we have is clear: develop clean and smart energy infrastructure or ignore the dire consequences that will come with an unimaginable cost.
An even bigger problem is the transmission of the generated electricity to its consumers in the most efficient fashion. High transmission and Distribution losses, Energy theft, peak power shortages leading to power outages are some of the real challenges a large portion of the world is facing.
Ecolibrium Energy is transforming the way the world uses energy. We help commercial, institutional and industrial organizations use energy more intelligently, pay less for it, and generate cash flow that benefits the bottom line. Our technology-enabled solutions help meet the needs of utilities/grid operators that deliver energy and are responsible for maintaining the real-time balance between supply and demand.
We are focusing on Energy Management Solution, Demand Response Programs for Distribution companies and renewable energy integration in the grid
","Ahmedabad, Gujarat","Energy, Hardware, Software","[['Jul, 2017', '$2.6M / Venture', '—', 'Infuse VenturesJLL India Real Estate Technology Ventures', '2'], ['Dec, 2016', 'undisclosed amount / Venture', '—', '—', '0'], ['May, 2013', '$1.6M / Seed', '—', '—', '2']]","[['IFC Venture Capital Group', 'Seed', '-'], ['Infuse Ventures', 'Seed', '-', 'Venture\xa0(Lead)', '-'], ['JLL India Real Estate Technology Ventures', 'Venture\xa0(Lead)', '-']]"
0,Applied solar Technologies,2008,11 - 50,"AST provides off-grid solar power to the telecom and banking sectors. Off-grid power is electricity generated from renewable energy sources without accessing the main grid. The firm offers alternative power sources to telecom operators and banks which often rely on diesel-based power generation for infrastructure such as telecom towers and ATMs.
","Noida, Uttar Pradesh","Electrical Distribution, Infrastructure, Renewable Energy","[['Jun, 2015', '$40M / Venture', '—', 'Future Fund', '4'], ['Jan, 2012', '$24.6M / Venture', '—', '—', '1'], ['Apr, 2010', '$21M / Venture', '—', '—', '1']]","[['Bessemer Venture Partners', 'Venture', 'Rob Chandra'], ['Capricorn Investment Group', 'Venture', '-'], ['Future Fund', 'Venture\xa0(Lead)', '-'], ['IFC Venture Capital Group', 'Venture', '-', 'Venture', '-', 'Venture', '-']]"
0,Zify,2014,11 - 50,"Zify is a mobile & web-based application facilitating dynamic ride-sharing between car-owners with empty seats and passengers travelling in the same direction.
Although carpooling is economical, safe, eco-friendly & solves a lot of transport related problems, yet no company has been able to provide the right solution for carpooling. The general questions about Who (Security), When (Timing) & Where (Pickup & Drop Off points) in carpool is still unanswered for intra-city ride sharing. Zify answers all these pain points. It makes your daily commute simple and fun!
","Paris, Ile-de-France","Car Sharing, Ride Sharing, Transportation, Apps, Mobile","[['Jun, 2016', '$150k / Angel', '—', '—', '2'], ['Oct, 2015', '$200k / Angel', '—', '—', '1'], ['May, 2014', '$16.6k / Seed', '—', '—', '2']]","[['Bennett Coleman and Co Ltd', 'Angel', '-'], ['Brand Capital', 'Angel', '-'], ['SOSV', 'Angel', ""Sean O'Sullivan""], ['Srini Koppolu', 'Seed', '-'], ['The IIIT-H Foundation', 'Seed', '-']]"
0,NephroPlus,2009,11 - 50,"NephroPlus is a dialysis provider network. It provides quality dialysis services in different parts of India.
NephroPlus has some unique offerings such as nocturnal dialysis, short daily dialysis and holiday dialysis that allow patients to lead normal lives.
NephroPlus was co-founded by a dialysis patient who has been on dialysis for 16 years.
","Hyderabad, Andhra Pradesh","Health Care, Hospital, Health Diagnostics","[['Aug, 2016', '₹1B / Series C', '—', 'SeaLink Capital Partners', '2'], ['Mar, 2014', '$10M / Series B', '—', '—', '2'], ['2011', '$4M / Series A', '—', 'Bessemer Venture Partners', '1']]","[['Bessemer Venture Partners', 'Series A\xa0(Lead)', 'Siddharth Nautiyal', 'Series B', 'Siddharth Nautiyal'], ['IFC Venture Capital Group', 'Series B', '-', 'Series C', '-'], ['SeaLink Capital Partners', 'Series C\xa0(Lead)', '-']]"
0,AppVirality Inc,2014,11 - 50,"AppVirality is a Plug and Play Growth Hacking Toolkit For Mobile Apps that helps app developers in identifying and implementing the right growth techniques, no coding required. Simple SDK integration and Do It Yourself dashboard to rule everything. 
A/B testing and In-depth analytics help businesses with meaningful data to optimize techniques and increase app downloads and user engagement.
","Phoenix, AZ","Developer Tools, Apps, Mobile","[['Nov, 2015', '$500k / Seed', '—', '—', '0'], ['Sep, 2015', '$500k / Seed', '—', 'Click Labs', '23'], ['Jan, 2015', '$465k / Seed', '—', '—', '7'], ['Jan, 2014', 'undisclosed amount / Venture', '—', '—', '1']]","[['Adithya Vuchi', 'Seed', '-'], ['Aloke Bajpai', 'Seed', '-'], ['Ashim Mehra', 'Seed', '-', 'Seed', '-'], ['Bikky Khosla', 'Seed', '-'], ['Click Labs', 'Seed\xa0(Lead)', '-'], ['Gaurav Agarwal', 'Seed', '-'], ['Gaurav Lochan', 'Seed', '-'], ['HT Ventures', 'Seed', '-'], ['India Internet Fund', 'Seed', 'Nihal MehtaAnirudh Suri', 'Seed', 'Nihal MehtaAnirudh Suri'], ['Jocelyn Goldfein', 'Seed', '-'], ['Krishna Mehra', 'Seed', '-'], ['Maxence Cacheux', 'Seed', '-'], ['Microsoft Accelerator Bangalore', 'Venture', '-'], ['Mike Galgon', 'Seed', '-', 'Seed', '-'], ['Mohit Saxena', 'Seed', '-', 'Seed', '-']]"
0,Rolocule Games,"November 25, 2010",11 - 50,"Rolocule creates mid-core F2P mobile games that are insanely simple to play yet deceptively deep to master. Design forms the core of all games with player-focused approach at its center.
Rolocule's vision is to create games whose legacy lasts for many years and even decades.
","Pune, Maharashtra","PC Games, Gaming, Mobile","[['Aug, 2014', '$367.65k / Series A', '—', '—', '1'], ['Jan, 2013', '$222.06k / Angel', '—', '—', '1'], ['May, 2012', 'undisclosed amount / Angel', '—', '—', '2']]","[['Artha India Ventures', 'Angel', 'Anirudh Damani', 'Series A', 'Anirudh Damani'], ['Blume Ventures', 'Angel', '-'], ['Mumbai Angels', 'Angel', '-']]"
0,Multunus Software,2008,11 - 50,"Multunus Software starts the whole process with your idea. At this stage, your idea may just be a single line idea or you may have more details to share, if you’ve had a chance to invest time into the idea.
Whatever information you have available, goes as input into the first phase called the Exploratory Phase. What follows the Exploratory Phase is the Construction Phase.
",Bangalore,"Web Development, Android, iOS",,
0,BookEventz,"January 3, 2013",11 - 50,"BookEventz.com is India's first Party Venue and Banquet Booking platform, With over 1000+ venues ranging from restaurants, lounges to resorts, hotels, party plots and caterers; our portal helps you save time, save money and plan the perfect event. We are present in Mumbai, Pune, Delhi, Ahmedabad and Bengaluru. Our banquet booking services are an unmatched service for those who are looking forward to celebrate majestically. Banquet experts at BookEventz help you book the right venues for your events at the best negotiated rates. The portal helps you pick venues which are best matched with your needs, helping you find ideal places for board meetings, conferences, special occasions like wedding, reception, bachelor party, birthday party etc.
Read more at: http://www.bookeventz.com/about-us
","Mumbai, Maharashtra","Marketplace, Event Management, Events","[['Dec, 2016', 'undisclosed amount / Seed', '—', 'Mumbai Angels', '4'], ['Dec, 2015', 'undisclosed amount / Angel', '—', 'Mumbai Angels', '3']]","[['Anbu Pandian', 'Seed', '-'], ['Girish Mathrubootham', 'Seed', '-'], ['Mumbai Angels', 'Angel\xa0(Lead)', '-', 'Seed\xa0(Lead)', '-'], ['Singapore Angel Network', 'Angel', '-'], ['Vivek Kumar', 'Seed', '-'], ['Zishaan Hayath', 'Angel', '-']]"
0,Alma Connect,2011,11 - 50,"Alma Connect works with institutions to help them build a strong alumni community by creating a social-professional ecosystem among alumni, faculty, students and management of an institution.
","New Delhi, Delhi","Infrastructure, Communities","[['Feb, 2016', 'undisclosed amount / Seed', '—', 'Mohandas Pai', '3'], ['Sep, 2012', '$250k / Angel', '—', '—', '2']]","[['3one4 Capital', 'Seed', '-'], ['CIIE, IIM Ahmedabad', 'Angel', '-'], ['Dharmendra Yashovardhan', 'Angel', '-'], ['Mohandas Pai', 'Seed\xa0(Lead)', '-'], ['Varun Aggarwal', 'Seed', '-']]"
0,Licious,2015,11 - 50,"Licious is a path breaking concept in the Indian Food industry; aimed at solving the perennially existing problem of finding safe, delectable, trustworthy fresh meat in India. We are busy building a world-class enterprise that's bound to upgrade the way we procure, sell, buy and consume meat in India.
","Bengaluru, Karnataka","Food and Beverage, Food Delivery, Delivery Service","[['Mar, 2017', '$10M / Series B', '—', '3one4 CapitalMayfield Capital', '4'], ['Apr, 2016', '$3M / Series A', '—', 'Mayfield Fund', '1'], ['Sep, 2015', '$1M / Seed', '—', '—', '3']]","[['3one4 Capital', 'Seed', '-', 'Series B\xa0(Lead)', 'Pranav Pai'], ['Kanwaljit Singh', 'Seed', '-'], ['Mayfield Capital', 'Series B\xa0(Lead)', '-'], ['Mayfield Fund', 'Series A\xa0(Lead)', '-'], ['Mohandas Pai', 'Seed', '-'], ['Neoplux', 'Series B', '-'], ['Sistema Asia Fund', 'Series B', '-']]"
0,SwitchMe,2012,11 - 50,"SwitchMe is a consumer service that makes it easy for consumers to switch from one service to another. Thus, SwitchMe makes consumer choices real and easy.
SwitchMe is a India's first online switching service, designed to make selecting the cheapest service provider, easier than never before. We make consumer choice easy through our comparison engine technology and ground staff, which does all the legwork required to switch.
Currently, a cutomer can switch their electricty provider, mobile network provider and home loan lender. The service is open to customers from the Mumbai region only for the time being.
","Andheri, Maharashtra",Financial Services,"[['Mar, 2016', 'undisclosed amount / Angel', '—', '—', '4']]","[['3one4 Capital', 'Angel', '-'], ['Hiro Mashita', 'Angel', '-'], ['Mohandas Pai', 'Angel', '-'], ['Singapore Angel Network', 'Angel', '-']]"
0,GetMeCab,"April 1, 2011",11 - 50,"GetMeCab.com is an online aggregator and seller of car rental services in 20+ cities in India. The company tie-up with taxi operators in India and help them sell their taxi inventory online through getmecab.com (its online b2c channel) as well as through its corporate and b2b partner network through web-services and affiliate programs.
","Gurgaon, Haryana","E-Commerce, Travel",,
0,enMarkit,2012,11 - 50,"enMarkit is a social engagement and business intelligence platform. Our easy to integrate plugin enables businesses to increase conversion rates, and reduce cart abandonment by engaging customer through contextualized reviews and personalized content
","Gurgaon, Haryana","E-Commerce, Analytics, Big Data","[['Aug, 2013', '$11.7k / Seed', '—', '—', '1']]","[['JFDI.Asia', 'Seed', '-']]"
0,PubMatic,"October 1, 2006",11 - 50,"PubMatic is the automation solutions company for an open digital media industry. Featuring the leading omni-channel revenue automation platform for publishers and enterprise-grade programmatic tools for media buyers, PubMatic’s publisher-first approach enables advertisers to access premium inventory at scale. Processing nearly one trillion ad impressions per month, PubMatic has created a global infrastructure to activate meaningful connections between consumers, content and brands. Since 2006, PubMatic’s focus on data and technology innovation has fueled the growth of the programmatic industry as a whole. Headquartered in Redwood City, California, PubMatic operates 12 offices and six data centers worldwide.
PubMatic is a registered trademark of PubMatic, Inc. Other trademarks are the property of their respective owners.
","Redwood City, California","Internet, Advertising, Marketing Automation","[['Jun, 2015', 'undisclosed amount / Secondary Market', '—', '—', '1'], ['Feb, 2014', '$13M / Venture', '—', 'Nokia Growth Partners (NGP)', '5'], ['Jun, 2012', '$32M / Series D', '—', '—', '5'], ['Apr, 2010', '$7.5M / Series C', '—', 'Helion Venture Partners', '3'], ['Mar, 2009', '$3.5M / Series B', '—', '—', '3'], ['Jan, 2008', '$7M / Series A', '—', 'Nexus Venture Partners', '3']]","[['August Capital', 'Series D', 'Tripp Jones', 'Venture', 'Tripp Jones'], ['Draper Fisher Jurvetson (DFJ)', 'Series A', 'Tim Draper', 'Series B', 'Tim Draper', 'Series C', 'Tim Draper', 'Series D', 'Tim Draper', 'Venture', 'Tim Draper'], ['Helion Venture Partners', 'Series A', '-', 'Series B', 'Ashish Gupta', 'Series C\xa0(Lead)', 'Ashish Gupta', 'Series D', 'Ashish Gupta', 'Venture', 'Ashish Gupta'], ['Nexus Venture Partners', 'Series A\xa0(Lead)', '-', 'Series B', 'Naren Gupta', 'Series C', 'Naren Gupta', 'Series D', 'Naren Gupta', 'Venture', 'Naren Gupta'], ['Nokia Growth Partners (NGP)', 'Venture\xa0(Lead)', 'John Gardner'], ['SharesPost Investment Management', 'Secondary Market', 'Sven Weber'], ['Silicon Valley Bank', 'Series D', '-']]"
0,FieldEZ,"March, 2011",11 - 50,"he FieldEZ mobile field force solution, with features such as call management & scheduling, lead management, time & location reporting, Travel & Expense capture, provides valuable field insights to management, ensures effective deployment of field personnel and empowers them to complete their activities and report the same through their mobiles. FieldEZ ‘s portfolio of solutions have been developed with years of industry specific research, experience and knowledge. As a result, our products foresee the specific needs of mobile users including Sales Reps, distribution reps, insurance claims processors and warehouse operators.
","Santa Clara, California",Mobile,"[['Jan, 2014', 'undisclosed amount / Series A', '—', 'IvyCap Ventures', '2']]","[['IDG Ventures India', 'Series A', '-'], ['IvyCap Ventures', 'Series A\xa0(Lead)', '-']]"
0,eShakti.com,2001,11 - 50,"We are an international fashion design company making custom clothing. Offering both style and fit customization for women size 0 through 36 is the heart of our business. eShakti believes that all women have the right to wear affordable fashion that is made for them and makes them look their absolute best.
","Sammamish, WA","E-Commerce, Shopping, Fashion","[['Sep, 2016', '$1.35M / Venture', '—', 'Infina Finance', '2'], ['Sep, 2014', '$14.5M / Series B', '—', 'IvyCap Ventures', '2'], ['May, 2011', '$4M / Series A', '—', '—', '1']]","[['IDG Ventures India', 'Series A', 'Soumitra Sharma', 'Series B', 'Soumitra Sharma'], ['Infina Finance', 'Venture\xa0(Lead)', '-'], ['IvyCap Ventures', 'Series B\xa0(Lead)', '-'], ['Polaris Banyan Holding', 'Venture', '-']]"
0,Yatra,"August 1, 2006",11 - 50,"Yatra provides airline reservation flight ticket booking service online. Book cheap flights tickets, hotels, discount honeymoon holiday packages, cheapest air travel holiday fare with affordable hotel vacation package in India.
","Gurgaon, Haryana","Travel, Hotel, Leisure","[['Apr, 2015', '$23M / Series F', '—', '—', '6'], ['Apr, 2014', '$16.62M / Series E', '—', 'IDG Ventures IndiaVertex Ventures', '5'], ['Jul, 2012', '$14.5M / Series D', '—', '—', '0'], ['May, 2011', '$45M / Series C', '—', 'Valiant Capital Partners', '3'], ['Jul, 2008', '$17M / Series B', '—', 'Intel Capital', '1'], ['Aug, 2006', '$5M / Series A', '—', 'Network18Norwest Venture Partners - NVPReliance Capital', '3']]","[['Brand Capital', 'Series F', '-'], ['IDG Ventures India', 'Series E\xa0(Lead)', '-', 'Series F', '-'], ['Intel Capital', 'Series B\xa0(Lead)', '-', 'Series C', '-', 'Series E', '-'], ['Network18', 'Series A\xa0(Lead)', '-'], ['Norwest Venture Partners - NVP', 'Series A\xa0(Lead)', 'Promod Haque', 'Series C', 'Promod Haque', 'Series E', 'Promod Haque', 'Series F', 'Promod Haque'], ['Rajasthan Venture Capital Fund', 'Series F', '-'], ['Reliance Capital', 'Series A\xa0(Lead)', '-'], ['Valiant Capital Partners', 'Series C\xa0(Lead)', '-', 'Series E', '-', 'Series F', '-'], ['Vertex Ventures', 'Series E\xa0(Lead)', 'Ben Mathias', 'Series F', 'Ben Mathias']]"
0,FirstCry.com,2010Aliases:BrainBees Solutions Pvt Ltd.,11 - 50,"FirstCry.com is Asia’s Largest Online Portal for Baby Products and Toys. They have over 20000+ items from 250+ top International and Indian brands like Mattel, Ben10, Pigeon, Funskool, Hotwheels, Nuby, Farlin, Medela, Pampers, Disney, Barbie, Gerber, Zapak, Mee Mee and so on.
","Pune, Maharashtra","E-Commerce, Shopping, Retail","[['Oct, 2016', '$34M / Series D', '—', 'Vertex Ventures', '9'], ['Feb, 2016', '$26M / Series D', '—', 'Valiant Capital Partners', '4'], ['Feb, 2015', '$26M / Series C', '—', 'Valiant Capital Partners', '4'], ['Jan, 2014', '$15M / Series B', '—', 'Vertex Ventures', '4'], ['Feb, 2012', '$14M / Series B', '—', 'IDG Ventures India', '2'], ['Apr, 2011', '$4M / Series A', '—', '—', '1']]","[['Adveq', 'Series D', '-'], ['IDG Ventures', 'Series D', '-'], ['IDG Ventures India', 'Series B\xa0(Lead)', '-', 'Series B', 'Manik Arora', 'Series C', '-', 'Series D', '-'], ['Kris Gopalakrishnan', 'Series D', '-'], ['Mahindra & Mahindra', 'Series D', '-'], ['New Enterprise Associates', 'Series D', '-'], ['SAIF Partners', 'Series A', '-', 'Series B', '-', 'Series B', 'Ravi Adusumalli', 'Series C', 'Ravi Adusumalli', 'Series D', 'Ravi Adusumalli', 'Series D', 'Ravi Adusumalli'], ['Temasek Holdings', 'Series B', '-', 'Series D', '-'], ['Valiant Capital Partners', 'Series C\xa0(Lead)', '-', 'Series D\xa0(Lead)', '-', 'Series D', '-'], ['Vertex Ventures', 'Series B\xa0(Lead)', 'Joo Hock ChuaBen Mathias', 'Series C', 'Joo Hock ChuaBen Mathias', 'Series D', 'Joo Hock ChuaBen Mathias', 'Series D\xa0(Lead)', 'Joo Hock ChuaBen Mathias']]"
